epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss
1,1443.955,3.9523,0.0,0.0,0.032,0.0351,0.429,0.4203,3.145,0.0,0.0
2,1456.944,3.2112,0.0,0.0,0.0369,0.0415,0.4299,0.4209,2.8973,0.0,0.0
3,1454.0755,2.9978,0.0,0.0,0.0482,0.0479,0.4298,0.4213,2.7736,0.0,0.0
4,1453.4836,2.8798,0.0,0.0,0.0504,0.0503,0.43,0.4211,2.6877,0.0,0.0
5,1453.6732,2.7837,0.0,0.0,0.0525,0.0537,0.429,0.4208,2.6316,0.0,0.0
6,1276.2547,3.9781,0.0,0.0,0.0322,0.0368,0.4286,0.4202,3.1622,0.0,0.0
7,1286.6657,3.2198,0.0,0.0,0.0378,0.0412,0.4296,0.421,2.907,0.0,0.0
8,1286.4232,3.005,0.0,0.0,0.0487,0.053,0.4302,0.4216,2.7853,0.0,0.0
